DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: N1850_f19_tn14_r265_ctrl_20180411 (yrs 1-20)
 
CONTROL CASE: OBS data
 
Variable    N1850_f19_tn14_r265_ctrl_20180411       OBS data       N1850_f19_tn14_r265_ctrl_20180411        RMSE
                                                     -OBS data
RESTOM            -0.393            -999.000          -999.000      -999.000
RESSURF           -0.364            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF  1.695               0.992             0.703         9.714
RESTOA_ERBE        1.695               0.059             1.636         9.035
SOLIN_CERES-EBAF 340.200             340.054             0.146         0.417
SOLIN_CERES      340.200             341.479            -1.279         1.296
CLDTOT_ISCCP      70.629              66.800             3.829        12.430
CLDTOT_CLOUDSAT   70.629              66.824             3.805        10.459
FLDS_ISCCP       348.676             343.347             5.329        15.207
FLNS_ISCCP        56.264              49.425             6.839        13.952
FLUT_CERES-EBAF  239.117             239.574            -0.457         6.339
FLUT_CERES       239.117             238.963             0.154         6.372
FLUT_ERBE        239.117             233.946             5.171         8.233
FLUTC_CERES-EBAF 265.201             266.051            -0.850         4.519
FLUTC_CERES      265.201             266.878            -1.678         6.433
FLUTC_ERBE       265.201             264.429             0.772         4.937
FLNT_CAM         237.786            -999.000          -999.000      -999.000
FSDS_ISCCP       187.540             189.390            -1.850        15.544
FSNS_ISCCP       163.688             165.893            -2.204        13.140
FSNS_LARYEA      163.688             154.089             9.600        37.635
FSNTOA_CERES-EBAF240.812             240.566             0.246        11.192
FSNTOA_CERES     240.812             244.691            -3.879        12.504
FSNTOA_ERBE      240.812             234.004             6.808        12.896
FSNTOAC_CERES-EBAF289.748             287.638             2.111         7.615
FSNTOAC_CERES    289.748             294.702            -4.954        17.305
FSNTOAC_ERBE     289.748             289.329             0.420        14.263
FSNT_CAM         237.393            -999.000          -999.000      -999.000
LHFLX_JRA25       85.576              87.935            -2.359        15.298
LHFLX_ERA40       85.576              82.367             3.210        16.063
LHFLX_WHOI        85.576              89.083            -3.507        25.569
LWCF_CERES-EBAF   26.084              26.476            -0.392         5.561
LWCF_CERES        26.084              27.194            -1.111         6.431
LWCF_ERBE         26.084              30.355            -4.271         7.798
PRECT_GPCP         2.930               2.674             0.256         0.978
PREH2O_NVAP       25.938              24.597             1.341         2.960
PREH2O_AIRS       25.938              20.425             5.513         6.441
PREH2O_JRA25      25.938              20.425             5.513         6.441
PREH2O_ERAI       25.938              24.247             1.691         2.799
PREH2O_ERA40      25.938              24.948             0.989         2.431
PSL_JRA25       1011.617            1011.280             0.338         1.676
PSL_ERAI        1011.617            1011.362             0.255         1.667
SHFLX_JRA25       22.212              19.372             2.840        11.196
SHFLX_NCEP        22.212              15.795             6.418        14.970
SHFLX_LARYEA      22.212              13.236             8.976        12.022
STRESS_MAG_ERS     0.063               0.064            -0.001         0.017
STRESS_MAG_LARYEA  0.063               0.071            -0.008         0.019
STRESS_MAG_JRA25   0.063               0.080            -0.017         0.021
SWCF_CERES-EBAF  -48.936             -47.071            -1.865         9.892
SWCF_CERES       -48.936             -48.586            -0.350        15.130
SWCF_ERBE        -48.936             -54.163             5.227        14.795
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
SST_HADISST       21.484              20.396             1.088         1.475
SST_HADISST_PI    21.806              20.368             1.438         1.782
SST_HADISST_PD    21.480              20.503             0.977         1.436
TREFHT_LEGATES   288.093             287.645             0.449         3.384
TREFHT_JRA25     288.093             287.605             0.488         2.098
TS_NCEP          289.343             287.683             1.660         2.703
TS_LAND_NCEP     283.590             281.155             2.435         4.090
U_200_JRA25       17.908              15.565             2.343         3.355
U_200_NCEP        17.908              15.297             2.611         3.589
Z3_500_JRA25      56.620              56.601             0.020         0.202
Z3_500_NCEP       56.620              56.581             0.039         0.191
