DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: N1850_f19_tn14_r265_ctrl_20180411 (yrs 150-180)
 
CONTROL CASE: OBS data
 
Variable    N1850_f19_tn14_r265_ctrl_20180411       OBS data       N1850_f19_tn14_r265_ctrl_20180411        RMSE
                                                     -OBS data
RESTOM              0.020            -999.000          -999.000      -999.000
RESSURF             0.027            -999.000          -999.000      -999.000
RESTOA_CERES-EBAF   2.109               0.992             1.117         9.824
RESTOA_ERBE         2.109               0.059             2.050         9.194
SOLIN_CERES-EBAF  340.200             340.054             0.146         0.417
SOLIN_CERES       340.200             341.479            -1.279         1.296
CLDTOT_ISCCP       70.746              66.800             3.946        12.472
CLDTOT_CLOUDSAT    70.746              66.824             3.923        10.572
FLDS_ISCCP        347.663             343.347             4.316        15.146
FLNS_ISCCP         56.374              49.425             6.949        13.926
FLUT_CERES-EBAF   238.633             239.574            -0.941         6.507
FLUT_CERES        238.633             238.963            -0.330         6.447
FLUT_ERBE         238.633             233.946             4.687         7.961
FLUTC_CERES-EBAF  264.795             266.051            -1.256         4.696
FLUTC_CERES       264.795             266.878            -2.084         6.715
FLUTC_ERBE        264.795             264.429             0.366         4.866
FLNT_CAM          237.303            -999.000          -999.000      -999.000
FSDS_ISCCP        187.745             189.390            -1.645        15.453
FSNS_ISCCP        163.761             165.893            -2.131        13.073
FSNS_LARYEA       163.761             154.089             9.673        37.699
FSNTOA_CERES-EBAF 240.742             240.566             0.176        11.263
FSNTOA_CERES      240.742             244.691            -3.949        12.576
FSNTOA_ERBE       240.742             234.004             6.738        12.877
FSNTOAC_CERES-EBAF 289.674             287.638             2.036         8.015
FSNTOAC_CERES     289.674             294.702            -5.028        17.640
FSNTOAC_ERBE      289.674             289.329             0.345        14.137
FSNT_CAM          237.323            -999.000          -999.000      -999.000
LHFLX_JRA25        85.136              87.935            -2.799        15.300
LHFLX_ERA40        85.136              82.367             2.769        15.736
LHFLX_WHOI         85.136              89.083            -3.947        24.999
LWCF_CERES-EBAF    26.162              26.476            -0.314         5.678
LWCF_CERES         26.162              27.194            -1.033         6.535
LWCF_ERBE          26.162              30.355            -4.193         7.828
PRECT_GPCP          2.914               2.674             0.240         0.973
PREH2O_NVAP        25.663              24.597             1.066         2.789
PREH2O_AIRS        25.663              20.425             5.238         6.129
PREH2O_JRA25       25.663              20.425             5.238         6.129
PREH2O_ERAI        25.663              24.247             1.416         2.593
PREH2O_ERA40       25.663              24.948             0.715         2.315
PSL_JRA25        1011.611            1011.280             0.331         1.615
PSL_ERAI         1011.611            1011.362             0.249         1.555
SHFLX_JRA25        22.225              19.372             2.853        11.164
SHFLX_NCEP         22.225              15.795             6.430        14.937
SHFLX_LARYEA       22.225              13.236             8.989        12.041
STRESS_MAG_ERS      0.063               0.064            -0.001         0.017
STRESS_MAG_LARYEA   0.063               0.071            -0.008         0.019
STRESS_MAG_JRA25    0.063               0.080            -0.017         0.021
SWCF_CERES-EBAF   -48.932             -47.071            -1.860         9.923
SWCF_CERES        -48.932             -48.586            -0.346        15.161
SWCF_ERBE         -48.932             -54.163             5.232        14.695
AODVIS           -999.000            -999.000          -999.000      -999.000
AODDUST          -999.000            -999.000          -999.000      -999.000
SST_HADISST        21.370              20.396             0.974         1.390
SST_HADISST_PI     21.690              20.370             1.320         1.689
SST_HADISST_PD     21.359              20.498             0.861         1.363
TREFHT_LEGATES    287.917             287.645             0.273         3.406
TREFHT_JRA25      287.917             287.605             0.312         2.104
TS_NCEP           289.171             287.683             1.488         2.615
TS_LAND_NCEP      283.284             281.155             2.129         3.887
U_200_JRA25        17.869              15.565             2.304         3.328
U_200_NCEP         17.869              15.297             2.572         3.569
Z3_500_JRA25       56.580              56.601            -0.021         0.183
Z3_500_NCEP        56.580              56.581            -0.001         0.171
